SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,EntityType,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"15 - 16 School Year","72","C.O.O.R. ISD","65045","West Branch-Rose City Area Schools","","All Buildings","LEA District","","2021","1016","1005","14","12","7","50","3","1898","37","184","139","135","141","139","158","147","167","168","163","157","148","168","1236","236","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13010","Albion Public Schools","","All Buildings","LEA District","","454","216","238","2","2","276","16","13","132","13","64","63","51","59","47","56","41","44","29","0","0","0","0","438","65","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13901","Arbor Academy","","All Buildings","PSA District","","192","100","92","0","2","54","33","0","81","22","37","42","35","26","28","13","11","0","0","0","0","0","0","137","<10","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13050","Athens Area Schools","","All Buildings","LEA District","","565","291","274","17","0","7","4","0","510","27","42","37","44","44","40","36","45","40","49","53","52","48","35","239","77","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13904","Battle Creek Area Learning Center","","All Buildings","PSA District","","177","106","71","0","1","18","16","1","124","17","0","0","0","0","0","0","0","0","0","10","28","50","89","136","41","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13900","Battle Creek Montessori Academy","","All Buildings","PSA District","","174","93","81","1","3","29","12","0","114","15","37","37","16","20","14","13","14","14","9","0","0","0","0","112","21","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13020","Battle Creek Public Schools","","All Buildings","LEA District","","4474","2351","2123","21","211","1635","538","1","1614","454","356","360","379","432","396","370","342","297","308","363","303","260","247","2887","674","381"
"15 - 16 School Year","13","Calhoun Intermediate School District","23010","Bellevue Community Schools","","All Buildings","LEA District","","569","288","281","1","1","16","8","4","531","8","44","36","50","53","47","45","47","45","37","40","49","43","33","306","112","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13000","Calhoun Intermediate School District  - District created from ISD","","All Buildings","ISD District","","1384","821","563","5","66","241","107","0","867","98","21","20","17","19","8","6","13","22","35","39","62","39","32","664","473","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13902","Endeavor Charter Academy","","All Buildings","PSA District","","608","288","320","1","32","145","34","0","322","74","100","79","77","66","67","66","48","46","59","0","0","0","0","447","57","29"
"15 - 16 School Year","13","Calhoun Intermediate School District","13070","Harper Creek Community Schools","","All Buildings","LEA District","","2712","1385","1327","25","22","56","131","6","2337","135","216","193","188","194","190","216","200","204","216","283","211","187","214","1061","294","43"
"15 - 16 School Year","13","Calhoun Intermediate School District","13080","Homer Community School District","","All Buildings","LEA District","","1064","556","508","2","2","0","34","0","1000","26","71","78","91","82","93","82","81","89","86","96","87","67","61","635","148","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13090","Lakeview Sch. District (Calhoun)","","All Buildings","LEA District","","4046","2013","2033","18","332","373","369","1","2546","407","271","257","292","308","255","329","295","323","343","356","375","332","310","1989","418","330"
"15 - 16 School Year","13","Calhoun Intermediate School District","13095","Mar Lee School District","","All Buildings","LEA District","","302","151","151","0","1","11","10","0","273","7","24","35","27","33","42","34","28","38","41","0","0","0","0","163","38","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13903","Marshall Academy","","All Buildings","PSA District","","258","127","131","2","0","42","10","0","197","7","19","24","26","30","25","23","19","18","18","9","18","15","14","117","37","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13110","Marshall Public Schools","","All Buildings","LEA District","","2454","1287","1167","18","29","187","112","0","2066","42","167","141","170","151","156","121","168","154","179","247","354","233","213","811","317","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","23080","Olivet Community Schools","","All Buildings","LEA District","","1511","760","751","3","5","7","56","0","1424","16","83","90","77","104","116","128","119","125","121","145","148","132","123","590","160","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13120","Pennfield Schools","","All Buildings","LEA District","","2175","1069","1106","21","8","105","103","1","1810","127","132","131","146","161","167","170","207","204","182","194","185","150","146","959","235","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13130","Tekonsha Community Schools","","All Buildings","LEA District","","260","136","124","0","3","4","15","0","232","6","17","20","16","22","18","13","32","20","17","27","14","27","17","168","50","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","13135","Union City Community Schools","","All Buildings","LEA District","","1086","557","529","5","2","4","12","3","1026","34","101","88","62","95","99","83","91","66","85","87","78","79","72","583","184","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","24030","Alanson Public Schools","","All Buildings","LEA District","","269","161","108","12","2","2","8","0","217","28","18","20","21","19","23","16","16","20","19","24","19","23","31","162","37","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","15010","Beaver Island Community School","","All Buildings","LEA District","","51","24","27","0","0","0","0","0","50","1","4","2","5","2","3","1","3","8","5","7","2","6","3","20","<10","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","15020","Boyne City Public Schools","","All Buildings","LEA District","","1315","652","663","12","9","5","26","1","1219","43","99","84","95","98","108","94","102","108","110","104","103","108","102","501","144","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","15030","Boyne Falls Public School District","","All Buildings","LEA District","","151","81","70","2","1","2","0","0","127","19","16","14","9","10","10","15","17","13","9","5","6","12","15","93","23","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","05035","Central Lake Public Schools","","All Buildings","LEA District","","288","141","147","6","1","1","5","3","265","7","19","23","11","23","18","27","15","20","26","22","30","24","30","170","36","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","15902","Charlevoix Montessori Academy for the Arts","","All Buildings","PSA District","","59","28","31","2","0","1","3","0","52","1","7","2","3","0","5","3","3","8","7","8","2","3","8","40","15","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","15050","Charlevoix Public Schools","","All Buildings","LEA District","","1025","509","516","29","18","15","42","1","895","25","78","61","74","66","75","60","61","82","66","96","97","110","99","377","112","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","15000","Charlevoix-Emmet ISD  - District created from ISD","","All Buildings","ISD District","","387","241","146","11","0","3","9","0","338","26","7","5","4","6","1","8","5","2","9","7","7","9","3","112","139","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","15901","Concord Academy - Boyne","","All Buildings","PSA District","","192","90","102","1","0","1","4","0","176","10","16","15","12","18","16","13","7","21","13","12","15","15","19","27","18","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","24901","Concord Academy - Petoskey","","All Buildings","PSA District","","178","76","102","6","1","0","6","1","156","8","16","12","19","20","14","13","8","13","15","13","12","12","11","53","17","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","15060","East Jordan Public Schools","","All Buildings","LEA District","","898","466","432","15","2","2","36","0","809","34","80","58","69","62","73","71","74","62","75","55","72","69","78","478","99","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","05065","Ellsworth Community School","","All Buildings","LEA District","","272","151","121","10","2","6","23","0","218","13","16","18","19","25","23","16","14","16","24","27","29","26","19","162","26","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","24020","Harbor Springs School District","","All Buildings","LEA District","","857","455","402","45","6","3","20","1","735","47","76","53","60","57","42","60","67","75","77","69","74","67","80","179","57","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","24040","Pellston Public Schools","","All Buildings","LEA District","","523","269","254","32","2","6","4","0","413","66","37","36","36","39","34","36","43","48","44","48","41","47","34","304","76","<10"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","24070","Public Schools of Petoskey","","All Buildings","LEA District","","2854","1501","1353","124","32","19","49","0","2481","149","195","184","176","225","205","186","238","246","216","231","250","241","261","1067","314","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","16000","Cheb-Otsego-Presque Isle ESD  - District created from ISD","","All Buildings","ISD District","","303","168","135","7","4","6","3","1","281","1","4","7","4","4","9","3","4","9","7","12","13","6","2","134","123","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","16015","Cheboygan Area Schools","","All Buildings","LEA District","","1769","907","862","16","5","6","30","0","1483","229","85","103","116","112","129","138","152","131","154","178","157","149","164","1147","141","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","69020","Gaylord Community Schools","","All Buildings","LEA District","","3036","1518","1518","31","16","27","66","2","2827","67","205","204","222","231","245","214","237","232","249","267","251","247","232","1318","295","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","16050","Inland Lakes Schools","","All Buildings","LEA District","","762","397","365","16","4","2","11","0","694","35","66","54","44","66","47","42","65","47","59","77","63","67","65","460","71","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","69030","Johannesburg-Lewiston Area Schools","","All Buildings","LEA District","","723","356","367","2","0","2","8","5","705","1","44","48","48","55","57","53","62","52","66","73","58","54","53","389","47","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","16070","Mackinaw City Public Schools","","All Buildings","LEA District","","153","62","91","1","2","5","5","0","128","12","15","13","16","12","14","15","7","10","8","10","12","8","13","41","<10","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","71050","Onaway Area Community School District","","All Buildings","LEA District","","625","299","326","5","0","1","13","0","582","24","47","47","52","52","41","49","52","48","44","47","61","47","38","361","39","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","71060","Posen Consolidated School District No. 9","","All Buildings","LEA District","","231","130","101","0","3","2","0","0","226","0","13","14","16","15","15","19","18","16","17","21","22","19","26","130","11","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","71902","Presque Isle Academy","","All Buildings","PSA District","","29","20","9","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","8","9","5","7","19","<10","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","71080","Rogers City Area Schools","","All Buildings","LEA District","","542","277","265","1","1","4","10","0","517","9","37","29","34","38","30","39","41","46","39","63","49","52","45","325","58","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","69040","Vanderbilt Area Schools","","All Buildings","LEA District","","122","76","46","2","0","0","4","0","114","2","23","10","8","12","10","11","10","7","11","8","5","4","3","72","<10","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","16100","Wolverine Community School District","","All Buildings","LEA District","","272","159","113","11","2","4","3","0","243","9","20","17","20","22","18","26","23","27","20","22","16","28","13","212","37","<10"
"15 - 16 School Year","18","Clare-Gladwin Regional Education Service District","26010","Beaverton Rural Schools","","All Buildings","LEA District","","1157","624","533","6","2","12","29","1","1088","19","80","78","64","93","99","76","87","93","96","86","115","99","91","634","190","<10"
